gz_id,label,start,end_,partido_generico,provincia_generica,region,iglesia_cat,servido_por,categoria,categoria_especial,cabildo,parcialidad,es_parte_de,lat,lon,cert,metodo,curato_generico,pais,nombre,variantes,nombrehoy,santo,start_ex,end_ex,fuente_ID,importancia
1002719,Santo Tomas,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.7763890001,-96.2361109998,Buena,Geoservice/Satelite,None,MEX,Santo Tomas (De Arriba),Santo Tomas de Arriba,None,None,start,end,tanck,7
1002720,Tlacolula,1111,9999,Teotitlan del Valle,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.9536109996,-96.4758330002,Buena,Geoservice/Satelite,None,MEX,Asuncion Tlacolula,None,None,Asuncion,start,end,tanck,7
1002723,Abejones,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.4350000002,-96.6066670001,Buena,Geoservice/Satelite,None,MEX,San Miguel Abejones,None,None,San Miguel,start,end,tanck,7
1002724,Aloapam,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.4055560003,-96.6916669997,Buena,Geoservice/Satelite,None,MEX,San Miguel Aloapam,None,None,San Miguel,start,end,tanck,7
1002725,Amoltepec,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.6416669998,-97.4949999999,Buena,Geoservice/Satelite,None,MEX,Santiago Amoltepec,None,None,Santiago,start,end,tanck,7
1002726,Analco,1111,9999,Teococuilco,Oaxaca,NES,Curato,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.4066670003,-96.5388889996,Buena,Geoservice/Satelite,Analco,MEX,San Juan Evangelista Analco,None,None,San Juan Evangelista,start,end,tanck,6
1002727,Atepec,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.4266669999,-96.5383330001,Buena,Geoservice/Satelite,None,MEX,San Juan Bautista Atepec,None,None,San Juan Bautista,start,end,tanck,7
1002728,Cahuacua,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.8958329999,-97.3069439998,Buena,Geoservice/Satelite,None,MEX,San Francisco Cahuacua,None,None,San Francisco,start,end,tanck,7
1002729,Comaltepec,1111,9999,Teococuilco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,17.5650000002,-96.5483329999,Buena,Geoservice/Satelite,None,MEX,Santiago Comaltepec,None,None,Santiago,start,end,tanck,7
1002730,Ixtayutla,1111,9999,Teozacualco,Oaxaca,NES,s.d.,s.d.,Pueblo,Pueblo de indios,s.d.,No,1000000,16.5649999996,-97.6530559996,Buena,Geoservice/Satelite,None,MEX,Santiago Ixtayutla,None,None,Santiago,start,end,tanck,7
